CNT,Country code 3-character,,,
OECD,OECD country,,,
ST01Q01,International Grade,,,
ST02Q01,National Study Programme,,,
ST04Q01,Gender,,,
ST28Q01,How many books at home,,,
ST53Q01,Learning Strategies- Important Parts vs. Existing Knowledge vs. Learn by Heart,,,
ST53Q02,Learning Strategies- Improve Understanding vs. New Ways vs. Memory,,,
ST80Q01,Cognitive Activation - Teacher Encourages to Reflect Problems,,,
ST80Q04,Cognitive Activation - Gives Problems that Require to Think,,,
ST80Q05,Cognitive Activation - Asks to Use Own Procedures,,,
ST80Q07,Cognitive Activation - Presents Problems in Different Contexts,,,
ST80Q09,Cognitive Activation - Asks for Explanations,,,
ST87Q01,Sense of Belonging - Feel Like Outsider,,,
ST87Q02,Sense of Belonging - Make Friends Easily,,,
ST87Q04,Sense of Belonging - Feel Awkward at School,,,
ST87Q05,Sense of Belonging - Liked by Other Students,,,
ST87Q07,Sense of Belonging - Feel Happy at School,,,
IC01Q02,At Home - Portable laptop,,,
IC01Q03,At Home - Tablet computer,,,
IC01Q04,At Home - Internet connection,,,
IC01Q05,At Home - Video games console,,,
IC01Q06,At Home - Cell phone w/o Internet,,,
IC01Q07,At Home - Cell phone with Internet,,,
PV1MATH,Plausible value 1 in mathematics,,,
PV2MATH,Plausible value 2 in mathematics,,,
PV3MATH,Plausible value 3 in mathematics,,,
PV4MATH,Plausible value 4 in mathematics,,,
PV5MATH,Plausible value 5 in mathematics,,,
PV1READ,Plausible value 1 in reading,,,
PV2READ,Plausible value 2 in reading,,,
PV3READ,Plausible value 3 in reading,,,
PV4READ,Plausible value 4 in reading,,,
PV5READ,Plausible value 5 in reading,,,
PV1SCIE,Plausible value 1 in science,,,
PV2SCIE,Plausible value 2 in science,,,
PV3SCIE,Plausible value 3 in science,,,
PV4SCIE,Plausible value 4 in science,,,
PV5SCIE,Plausible value 5 in science,,,
